Date,Description,Reference,Settlement date,Receipt (GBP),Payment (GBP),Balance (GBP)
31/12/2022,Gross interest to 31/12/12,-,-,0.23,0,1115.74
12/12/2022,Div 129   ISHARES FTSE 250,AV9XFWGG,-,10.75,0,1115.51
10/12/2022,Purchase 28 Vanguard FTSE All-World UCITS ETF,BS0LK3ZA,13/12/2022,0,-968.48,1104.76
05/12/2022,Contribution,-,-,1000,0,2073.24
19/11/2022,Purchase 73 Vanguard FTSE All-World UCITS ETF GBP,R0DO3WGF,22/11/2022,0,-2442.22,1073.24
19/11/2022,Purchase 129 iShares FTSE 250 ETF GBP Dist,GGSGROOU,22/11/2022,0,-1489.25,3515.46
14/11/2022,Div 43   ISH FT ALL STK GLT,NLGGLKHQ,-,5.71,0,5004.71
06/11/2022,Contribution,-,-,1000,0,4999
24/10/2022,Transfer Value,-,-,3999,0,3999
01/01/2022,* BALANCE B/F *,-,-,0,0,0
